Match_ID,Season,Date,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Team1_Score,Team2_Score,Highest_Scorer,Highest_Runs,Best_Bowler,Wickets,Player_of_Match,Fours,Sixes,Extras,Weather
19,2021,4/20/2018,Chepauk,DC,RCB,RCB,Field,DC,195,193,Rashid Khan,69,Narine,3,Rashid Khan,21,45,13,Cloudy
20,2022,4/21/2018,Wankhede,RR,LSG,LSG,Field,LSG,153,168,Rashid Khan,30,Narine,1,Rashid Khan,17,75,22,Clear
21,2023,4/22/2018,Chinnaswamy,RR,SRH,SRH,Bat,RR,237,195,Jasprit Bumrah,43,Arshdeep,4,Jasprit Bumrah,21,47,18,Cloudy
22,2024,4/23/2018,Narendra Modi,MI,PBKS,MI,Bat,MI,220,125,Jasprit Bumrah,120,Siraj,4,Jasprit Bumrah,11,92,14,Clear
23,2025,4/24/2018,Arun Jaitley,DC,SRH,SRH,Bat,SRH,133,139,Virat Kohli,125,Chahal,1,Rashid Khan,20,100,16,Cloudy
24,2018,4/25/2018,Eden Gardens,RR,GT,RR,Field,RR,209,163,Virat Kohli,68,Arshdeep,4,Jos Buttler,19,105,13,Sunny
25,2019,4/26/2018,Wankhede,KKR,MI,MI,Field,KKR,193,172,Shubman Gill,84,Bumrah,2,Shubman Gill,10,65,19,Clear
26,2020,4/27/2018,Arun Jaitley,MI,LSG,LSG,Field,MI,195,134,Virat Kohli,35,Siraj,1,Shubman Gill,22,55,18,Clear
27,2021,4/28/2018,Wankhede,RR,GT,RR,Field,RR,215,119,Jos Buttler,79,Chahal,2,Jos Buttler,14,46,11,Cloudy
28,2022,4/29/2018,Wankhede,KKR,CSK,CSK,Field,CSK,151,162,Virat Kohli,114,Rabada,1,Rashid Khan,9,114,20,Clear
29,2023,4/30/2018,Eden Gardens,LSG,SRH,LSG,Bat,LSG,240,211,Virat Kohli,30,Chahal,3,Virat Kohli,17,78,9,Sunny
30,2024,5/1/2018,Chepauk,SRH,RR,SRH,Field,SRH,227,159,Suryakumar Yadav,89,Bumrah,1,Suryakumar Yadav,16,93,9,Clear
31,2025,5/2/2018,Narendra Modi,RR,MI,MI,Field,MI,166,186,Yuzvendra Chahal,83,Chahal,6,Yuzvendra Chahal,12,45,21,Clear
32,2018,5/3/2018,Chepauk,CSK,PBKS,PBKS,Field,PBKS,210,222,Rashid Khan,92,Chahal,4,MS Dhoni,9,70,14,Cloudy
33,2019,5/4/2018,Wankhede,RCB,CSK,CSK,Field,CSK,160,216,Shubman Gill,111,Arshdeep,6,Shubman Gill,17,51,18,Sunny
34,2020,5/5/2018,Chepauk,KKR,SRH,KKR,Field,KKR,147,112,Jos Buttler,78,Narine,5,Jos Buttler,19,42,8,Sunny
35,2021,5/6/2018,Eden Gardens,PBKS,RCB,RCB,Bat,PBKS,135,112,Suryakumar Yadav,127,Narine,4,Suryakumar Yadav,22,46,10,Clear
36,2022,5/7/2018,Eden Gardens,DC,RCB,DC,Field,RCB,169,209,Virat Kohli,124,Siraj,1,Virat Kohli,23,101,11,Sunny
37,2023,5/8/2018,Narendra Modi,CSK,GT,CSK,Bat,CSK,186,119,KL Rahul,58,Shami,6,MS Dhoni,25,108,15,Clear
38,2024,5/9/2018,Chepauk,GT,KKR,GT,Field,KKR,190,192,Suryakumar Yadav,78,Siraj,6,Suryakumar Yadav,17,86,16,Cloudy
39,2025,5/10/2018,Chinnaswamy,LSG,CSK,CSK,Field,CSK,170,207,Virat Kohli,60,Bumrah,2,Virat Kohli,21,50,22,Clear
40,2018,5/11/2018,Narendra Modi,DC,RCB,RCB,Field,DC,212,152,Shubman Gill,45,Arshdeep,4,Rashid Khan,9,113,18,Cloudy
41,2019,5/12/2018,Eden Gardens,RR,PBKS,RR,Field,RR,212,126,MS Dhoni,119,Rabada,6,Jos Buttler,23,100,14,Sunny
42,2020,5/13/2018,Chepauk,RCB,LSG,RCB,Field,RCB,160,107,Rashid Khan,108,Bumrah,3,Yuzvendra Chahal,22,65,10,Cloudy
43,2021,5/14/2018,Wankhede,RCB,LSG,RCB,Field,LSG,123,198,Jasprit Bumrah,51,Bumrah,2,Jasprit Bumrah,25,88,8,Sunny
44,2022,5/15/2018,Chepauk,RR,DC,RR,Bat,DC,193,206,Virat Kohli,95,Siraj,1,Virat Kohli,8,66,15,Cloudy
45,2023,5/16/2018,Wankhede,DC,KKR,DC,Bat,KKR,171,177,Yuzvendra Chahal,51,Siraj,3,Suryakumar Yadav,9,67,16,Sunny
46,2024,5/17/2018,Chepauk,GT,RCB,GT,Bat,GT,239,170,Jos Buttler,55,Chahal,3,Jos Buttler,13,83,8,Cloudy
47,2025,5/18/2018,Chinnaswamy,RR,SRH,SRH,Field,SRH,156,181,Shubman Gill,83,Arshdeep,3,Yuzvendra Chahal,12,42,11,Clear
48,2018,5/19/2018,Arun Jaitley,RR,CSK,RR,Field,RR,238,221,Jasprit Bumrah,35,Rashid Khan,4,Jasprit Bumrah,20,92,18,Clear
49,2019,5/20/2018,Wankhede,DC,RCB,RCB,Bat,RCB,150,225,Shubman Gill,130,Shami,4,Shubman Gill,25,118,20,Sunny
50,2020,5/21/2018,Narendra Modi,SRH,LSG,SRH,Bat,LSG,170,226,MS Dhoni,98,Rabada,6,Shubman Gill,24,115,11,Sunny
51,2021,5/22/2018,Chinnaswamy,KKR,CSK,CSK,Bat,CSK,180,206,KL Rahul,117,Siraj,4,KL Rahul,24,74,20,Clear
52,2022,5/23/2018,Wankhede,RCB,RR,RR,Bat,RCB,216,136,Virat Kohli,54,Arshdeep,4,MS Dhoni,20,54,18,Sunny
53,2023,5/24/2018,Narendra Modi,PBKS,KKR,PBKS,Bat,PBKS,146,145,Yuzvendra Chahal,118,Rabada,5,Virat Kohli,25,69,19,Sunny
54,2024,5/25/2018,Arun Jaitley,DC,RR,RR,Bat,RR,131,191,KL Rahul,96,Narine,6,KL Rahul,24,52,13,Cloudy
55,2025,5/26/2018,Chinnaswamy,RR,PBKS,RR,Bat,RR,190,146,Jos Buttler,91,Rashid Khan,1,Jos Buttler,20,75,17,Clear
56,2018,5/27/2018,Chinnaswamy,KKR,RCB,KKR,Bat,RCB,150,205,Yuzvendra Chahal,71,Rabada,2,MS Dhoni,22,87,18,Clear
57,2019,5/28/2018,Eden Gardens,GT,PBKS,PBKS,Field,GT,181,143,Jasprit Bumrah,36,Rabada,6,Jasprit Bumrah,23,102,11,Clear
58,2020,5/29/2018,Arun Jaitley,GT,PBKS,PBKS,Bat,GT,153,147,Virat Kohli,128,Bumrah,6,Virat Kohli,15,95,13,Clear
59,2021,5/30/2018,Eden Gardens,PBKS,CSK,CSK,Bat,PBKS,190,158,Jos Buttler,103,Bumrah,2,Jos Buttler,13,45,21,Sunny
60,2022,5/31/2018,Arun Jaitley,CSK,LSG,LSG,Bat,CSK,172,119,Jos Buttler,125,Bumrah,2,Jos Buttler,13,58,14,Cloudy
61,2023,6/1/2018,Wankhede,RCB,CSK,RCB,Field,CSK,152,206,Yuzvendra Chahal,62,Bumrah,5,Yuzvendra Chahal,9,119,9,Clear
62,2024,6/2/2018,Chepauk,PBKS,GT,PBKS,Bat,PBKS,142,132,Rashid Khan,45,Rashid Khan,3,Rashid Khan,18,61,22,Cloudy
63,2025,6/3/2018,Eden Gardens,PBKS,GT,GT,Field,GT,123,130,Virat Kohli,58,Rashid Khan,1,Virat Kohli,8,71,11,Cloudy
64,2018,6/4/2018,Wankhede,MI,SRH,MI,Bat,SRH,138,207,MS Dhoni,100,Rashid Khan,2,MS Dhoni,15,67,22,Clear
65,2019,6/5/2018,Chinnaswamy,DC,RCB,RCB,Bat,RCB,168,229,MS Dhoni,130,Rabada,5,MS Dhoni,21,93,8,Cloudy
66,2020,6/6/2018,Wankhede,GT,RR,RR,Bat,GT,203,203,Jasprit Bumrah,97,Narine,4,Jasprit Bumrah,13,72,19,Clear
67,2021,6/7/2018,Chepauk,RR,LSG,LSG,Bat,RR,198,187,Jasprit Bumrah,129,Bumrah,3,Jasprit Bumrah,13,84,17,Sunny
68,2022,6/8/2018,Chepauk,RR,KKR,RR,Field,RR,211,115,KL Rahul,126,Rabada,4,KL Rahul,12,110,22,Clear
69,2023,6/9/2018,Narendra Modi,GT,KKR,KKR,Bat,GT,228,176,Rohit Sharma,129,Rabada,6,Jasprit Bumrah,18,62,10,Cloudy
70,2024,6/10/2018,Narendra Modi,CSK,PBKS,PBKS,Field,CSK,188,169,Rashid Khan,88,Rashid Khan,5,Rashid Khan,16,42,20,Sunny
71,2025,6/11/2018,Eden Gardens,LSG,RR,RR,Bat,LSG,182,122,Jos Buttler,78,Rabada,6,Jos Buttler,11,112,12,Cloudy
72,2018,6/12/2018,Eden Gardens,SRH,CSK,SRH,Field,SRH,129,120,Rashid Khan,116,Siraj,3,Rashid Khan,21,91,14,Sunny
73,2019,6/13/2018,Chinnaswamy,PBKS,RCB,RCB,Field,PBKS,164,135,Shubman Gill,130,Chahal,2,Shubman Gill,12,87,15,Cloudy
74,2020,6/14/2018,Narendra Modi,DC,LSG,LSG,Bat,DC,204,159,Rashid Khan,42,Narine,4,Rashid Khan,25,98,21,Cloudy
75,2021,6/15/2018,Chinnaswamy,CSK,MI,CSK,Field,CSK,178,124,Jasprit Bumrah,86,Rashid Khan,1,Jasprit Bumrah,16,42,9,Cloudy
76,2022,6/16/2018,Arun Jaitley,KKR,LSG,KKR,Field,KKR,166,101,Shubman Gill,88,Narine,3,Shubman Gill,24,103,9,Clear
77,2023,6/17/2018,Chinnaswamy,LSG,KKR,LSG,Field,KKR,179,225,Suryakumar Yadav,123,Rashid Khan,5,Suryakumar Yadav,20,114,11,Clear
78,2024,6/18/2018,Chepauk,LSG,SRH,LSG,Bat,SRH,125,215,Yuzvendra Chahal,73,Rabada,6,Yuzvendra Chahal,16,87,13,Sunny
79,2025,6/19/2018,Eden Gardens,PBKS,MI,MI,Field,MI,210,221,Shubman Gill,98,Arshdeep,6,KL Rahul,11,40,18,Clear
80,2018,6/20/2018,Chepauk,CSK,RCB,CSK,Field,CSK,219,219,Jasprit Bumrah,74,Chahal,1,Jasprit Bumrah,20,107,9,Cloudy
81,2019,6/21/2018,Narendra Modi,PBKS,CSK,PBKS,Bat,CSK,155,199,Rohit Sharma,36,Rabada,4,Rohit Sharma,9,106,9,Clear
82,2020,6/22/2018,Narendra Modi,SRH,KKR,KKR,Field,SRH,212,115,Jasprit Bumrah,38,Arshdeep,4,Jasprit Bumrah,18,64,10,Cloudy
83,2021,6/23/2018,Eden Gardens,SRH,RCB,SRH,Bat,SRH,196,149,KL Rahul,106,Rabada,4,KL Rahul,17,83,12,Sunny
84,2022,6/24/2018,Eden Gardens,DC,MI,MI,Field,MI,136,220,Virat Kohli,76,Narine,5,KL Rahul,12,63,13,Clear
85,2023,6/25/2018,Chinnaswamy,MI,SRH,SRH,Bat,MI,210,205,MS Dhoni,127,Narine,3,Rashid Khan,13,60,8,Clear
86,2024,6/26/2018,Eden Gardens,RCB,GT,GT,Field,GT,121,197,MS Dhoni,77,Rabada,3,MS Dhoni,11,103,10,Clear
87,2025,6/27/2018,Arun Jaitley,CSK,DC,DC,Bat,DC,125,202,Jos Buttler,50,Rabada,4,Suryakumar Yadav,18,61,22,Cloudy
88,2018,6/28/2018,Wankhede,SRH,LSG,LSG,Field,LSG,204,212,Virat Kohli,30,Rabada,4,Virat Kohli,24,58,16,Clear
89,2019,6/29/2018,Narendra Modi,MI,DC,MI,Field,DC,159,226,MS Dhoni,112,Siraj,2,Virat Kohli,22,70,21,Clear
90,2020,6/30/2018,Wankhede,KKR,RR,RR,Bat,KKR,200,136,KL Rahul,53,Chahal,6,KL Rahul,11,74,21,Clear
91,2021,7/1/2018,Chinnaswamy,RR,LSG,LSG,Field,LSG,192,220,Jasprit Bumrah,119,Bumrah,3,Virat Kohli,11,68,21,Clear
92,2022,7/2/2018,Chepauk,KKR,RR,RR,Field,RR,188,204,Shubman Gill,60,Rabada,1,Shubman Gill,8,50,9,Sunny
93,2023,7/3/2018,Narendra Modi,LSG,DC,DC,Field,LSG,163,162,KL Rahul,77,Siraj,4,KL Rahul,16,86,20,Sunny
94,2024,7/4/2018,Wankhede,DC,RCB,DC,Bat,DC,133,101,Virat Kohli,75,Rabada,2,Suryakumar Yadav,23,68,9,Sunny
95,2025,7/5/2018,Narendra Modi,KKR,LSG,LSG,Field,KKR,159,145,Rashid Khan,105,Rabada,1,Rashid Khan,12,106,10,Cloudy
96,2018,7/6/2018,Arun Jaitley,RCB,PBKS,PBKS,Bat,RCB,213,121,Shubman Gill,100,Chahal,5,Shubman Gill,20,62,21,Sunny
97,2019,7/7/2018,Narendra Modi,KKR,DC,DC,Field,DC,126,147,Jasprit Bumrah,49,Arshdeep,4,Jasprit Bumrah,8,89,15,Clear
98,2020,7/8/2018,Chinnaswamy,LSG,PBKS,LSG,Bat,PBKS,142,190,Suryakumar Yadav,124,Siraj,5,Jasprit Bumrah,16,95,22,Clear
99,2021,7/9/2018,Narendra Modi,RCB,CSK,RCB,Bat,RCB,160,109,Rashid Khan,68,Rashid Khan,2,Rashid Khan,12,77,10,Cloudy
100,2022,7/10/2018,Narendra Modi,RCB,CSK,CSK,Field,CSK,142,151,Jasprit Bumrah,64,Rabada,6,MS Dhoni,24,93,20,Sunny
101,2023,7/11/2018,Wankhede,MI,KKR,KKR,Bat,KKR,166,187,Virat Kohli,46,Narine,5,Rashid Khan,11,98,11,Sunny
102,2024,7/12/2018,Narendra Modi,LSG,PBKS,PBKS,Bat,LSG,197,193,Yuzvendra Chahal,104,Chahal,2,Yuzvendra Chahal,21,62,16,Clear
103,2025,7/13/2018,Chinnaswamy,MI,RCB,RCB,Field,MI,199,180,Rohit Sharma,86,Arshdeep,6,MS Dhoni,25,42,21,Clear
104,2018,7/14/2018,Eden Gardens,SRH,CSK,CSK,Field,CSK,156,173,KL Rahul,41,Bumrah,6,Jasprit Bumrah,12,92,21,Cloudy
105,2019,7/15/2018,Chepauk,GT,RR,RR,Field,RR,204,205,Rashid Khan,106,Bumrah,5,Jos Buttler,16,61,20,Sunny
106,2020,7/16/2018,Arun Jaitley,GT,CSK,CSK,Field,GT,239,116,Suryakumar Yadav,49,Shami,1,Jos Buttler,19,78,13,Sunny
107,2021,7/17/2018,Arun Jaitley,LSG,RCB,RCB,Bat,RCB,143,227,Yuzvendra Chahal,93,Rashid Khan,2,Yuzvendra Chahal,11,60,17,Sunny
108,2022,7/18/2018,Eden Gardens,PBKS,SRH,PBKS,Bat,PBKS,141,102,Virat Kohli,116,Rabada,1,Virat Kohli,21,62,20,Sunny
109,2023,7/19/2018,Eden Gardens,SRH,PBKS,SRH,Field,PBKS,128,224,Rashid Khan,90,Narine,3,Rashid Khan,8,67,13,Cloudy
110,2024,7/20/2018,Chinnaswamy,LSG,SRH,SRH,Field,SRH,184,220,Shubman Gill,64,Chahal,5,Shubman Gill,21,66,19,Sunny
111,2025,7/21/2018,Wankhede,DC,KKR,KKR,Field,DC,202,157,Yuzvendra Chahal,128,Narine,1,Yuzvendra Chahal,15,55,15,Sunny
112,2018,7/22/2018,Wankhede,CSK,KKR,CSK,Bat,KKR,157,205,Jos Buttler,37,Bumrah,5,Jos Buttler,24,112,22,Sunny
113,2019,7/23/2018,Chinnaswamy,PBKS,LSG,LSG,Field,PBKS,185,155,Shubman Gill,74,Rabada,5,MS Dhoni,15,73,12,Cloudy
114,2020,7/24/2018,Eden Gardens,MI,CSK,CSK,Field,CSK,139,184,Virat Kohli,114,Arshdeep,1,KL Rahul,17,47,11,Cloudy
115,2021,7/25/2018,Chinnaswamy,PBKS,SRH,PBKS,Bat,PBKS,141,101,Jasprit Bumrah,55,Chahal,6,Jasprit Bumrah,25,71,16,Clear
116,2022,7/26/2018,Chinnaswamy,GT,MI,MI,Field,MI,156,217,MS Dhoni,99,Shami,2,MS Dhoni,23,84,19,Cloudy
117,2023,7/27/2018,Chepauk,RR,GT,GT,Field,RR,224,218,Jos Buttler,71,Rabada,2,Jos Buttler,12,90,9,Clear
118,2024,7/28/2018,Narendra Modi,PBKS,MI,MI,Field,MI,160,178,Shubman Gill,86,Rashid Khan,6,Suryakumar Yadav,14,82,19,Cloudy
119,2025,7/29/2018,Wankhede,MI,KKR,MI,Bat,MI,222,187,Rashid Khan,72,Siraj,3,Rashid Khan,14,77,14,Cloudy
120,2018,7/30/2018,Arun Jaitley,RR,SRH,RR,Field,RR,200,188,Rashid Khan,84,Bumrah,1,Rashid Khan,22,70,20,Cloudy
121,2019,7/31/2018,Narendra Modi,KKR,RCB,KKR,Bat,KKR,183,143,Virat Kohli,65,Narine,2,Virat Kohli,11,47,13,Sunny
122,2020,8/1/2018,Eden Gardens,DC,SRH,SRH,Field,DC,216,130,Rohit Sharma,78,Arshdeep,6,Rohit Sharma,13,113,14,Clear
123,2021,8/2/2018,Chinnaswamy,GT,DC,GT,Field,DC,137,138,Yuzvendra Chahal,95,Siraj,4,Yuzvendra Chahal,24,94,10,Clear
124,2022,8/3/2018,Arun Jaitley,SRH,DC,SRH,Field,SRH,239,107,Jasprit Bumrah,44,Rashid Khan,1,Jasprit Bumrah,21,87,12,Cloudy
125,2023,8/4/2018,Wankhede,MI,CSK,MI,Field,CSK,224,225,Shubman Gill,33,Chahal,6,Shubman Gill,20,100,14,Cloudy
126,2024,8/5/2018,Wankhede,CSK,MI,CSK,Bat,CSK,169,117,Yuzvendra Chahal,51,Narine,1,Yuzvendra Chahal,8,75,10,Clear
127,2025,8/6/2018,Narendra Modi,CSK,DC,DC,Bat,CSK,167,103,Virat Kohli,90,Chahal,2,Virat Kohli,24,83,11,Sunny
128,2018,8/7/2018,Narendra Modi,CSK,RCB,CSK,Field,CSK,165,124,KL Rahul,43,Arshdeep,4,KL Rahul,15,48,22,Clear
129,2019,8/8/2018,Chepauk,SRH,MI,MI,Bat,MI,176,225,Rohit Sharma,123,Chahal,2,Rohit Sharma,19,102,13,Sunny
130,2020,8/9/2018,Arun Jaitley,DC,LSG,DC,Field,DC,121,116,Rohit Sharma,93,Rabada,3,Rohit Sharma,14,119,22,Sunny
131,2021,8/10/2018,Narendra Modi,LSG,RR,LSG,Field,LSG,156,106,MS Dhoni,93,Narine,5,Suryakumar Yadav,18,51,13,Sunny
132,2022,8/11/2018,Narendra Modi,RR,RCB,RR,Bat,RCB,225,229,Rashid Khan,66,Rabada,5,Suryakumar Yadav,18,113,13,Sunny
133,2023,8/12/2018,Chepauk,RR,SRH,SRH,Field,RR,224,182,Rohit Sharma,54,Narine,3,Rohit Sharma,14,62,15,Clear
134,2024,8/13/2018,Narendra Modi,KKR,MI,KKR,Field,MI,141,180,Jasprit Bumrah,82,Bumrah,1,Jasprit Bumrah,25,105,18,Cloudy
135,2025,8/14/2018,Chinnaswamy,KKR,RR,RR,Field,RR,138,191,Shubman Gill,103,Rashid Khan,6,Shubman Gill,23,118,9,Sunny
136,2018,8/15/2018,Eden Gardens,RR,CSK,RR,Bat,CSK,151,227,Rashid Khan,30,Shami,6,Rashid Khan,12,100,17,Cloudy
137,2019,8/16/2018,Eden Gardens,LSG,DC,LSG,Bat,LSG,239,129,Yuzvendra Chahal,87,Siraj,3,Suryakumar Yadav,9,110,8,Cloudy
138,2020,8/17/2018,Wankhede,CSK,MI,CSK,Bat,CSK,204,165,Rohit Sharma,127,Narine,2,Rohit Sharma,18,42,18,Cloudy
139,2021,8/18/2018,Wankhede,MI,RR,MI,Field,RR,145,208,KL Rahul,95,Rashid Khan,6,KL Rahul,24,99,9,Sunny
140,2022,8/19/2018,Chinnaswamy,GT,PBKS,GT,Field,PBKS,125,218,KL Rahul,30,Shami,2,Yuzvendra Chahal,25,100,18,Clear
141,2023,8/20/2018,Chinnaswamy,GT,RR,GT,Bat,RR,128,190,Rohit Sharma,55,Rabada,3,Rohit Sharma,12,81,15,Sunny
142,2024,8/21/2018,Chepauk,GT,PBKS,GT,Field,GT,214,141,MS Dhoni,106,Rabada,6,MS Dhoni,21,115,13,Cloudy
143,2025,8/22/2018,Arun Jaitley,MI,RR,MI,Bat,MI,235,118,Rohit Sharma,41,Arshdeep,4,Rohit Sharma,15,96,21,Clear
144,2018,8/23/2018,Eden Gardens,CSK,KKR,KKR,Field,KKR,142,167,Rashid Khan,77,Narine,1,Rashid Khan,10,90,15,Cloudy
145,2019,8/24/2018,Arun Jaitley,RR,GT,RR,Bat,RR,228,105,KL Rahul,111,Narine,3,KL Rahul,10,94,14,Sunny
146,2020,8/25/2018,Chinnaswamy,PBKS,LSG,LSG,Bat,PBKS,217,198,Shubman Gill,31,Shami,3,Shubman Gill,21,49,10,Clear
147,2021,8/26/2018,Narendra Modi,DC,KKR,DC,Bat,DC,132,105,Virat Kohli,112,Rabada,2,Virat Kohli,22,89,18,Cloudy
148,2022,8/27/2018,Arun Jaitley,PBKS,MI,PBKS,Field,PBKS,188,100,Rashid Khan,35,Narine,4,Rashid Khan,10,68,22,Sunny
149,2023,8/28/2018,Eden Gardens,RR,PBKS,PBKS,Bat,PBKS,147,151,KL Rahul,90,Rashid Khan,3,KL Rahul,15,119,13,Cloudy
150,2024,8/29/2018,Arun Jaitley,PBKS,RR,RR,Field,RR,169,171,Suryakumar Yadav,76,Bumrah,2,Suryakumar Yadav,10,44,16,Clear
151,2025,8/30/2018,Chepauk,CSK,RR,RR,Bat,RR,183,184,Suryakumar Yadav,123,Chahal,4,KL Rahul,14,108,17,Clear
152,2018,8/31/2018,Arun Jaitley,LSG,CSK,CSK,Bat,CSK,145,189,Suryakumar Yadav,81,Narine,6,Suryakumar Yadav,24,79,20,Cloudy
153,2019,9/1/2018,Eden Gardens,RCB,LSG,RCB,Field,RCB,163,100,Jasprit Bumrah,66,Shami,4,Jasprit Bumrah,10,101,22,Cloudy
154,2020,9/2/2018,Chinnaswamy,DC,RCB,DC,Bat,DC,237,163,KL Rahul,60,Siraj,3,KL Rahul,16,44,19,Cloudy
155,2021,9/3/2018,Chepauk,GT,SRH,GT,Field,GT,181,119,Jasprit Bumrah,44,Chahal,2,Jasprit Bumrah,24,50,10,Sunny
156,2022,9/4/2018,Arun Jaitley,DC,LSG,LSG,Bat,DC,203,173,Shubman Gill,109,Chahal,4,Shubman Gill,18,98,8,Clear
157,2023,9/5/2018,Chinnaswamy,GT,KKR,GT,Field,GT,185,139,Jasprit Bumrah,60,Narine,4,Jasprit Bumrah,21,106,16,Clear
158,2024,9/6/2018,Arun Jaitley,RR,RCB,RCB,Field,RCB,162,229,Jos Buttler,93,Bumrah,4,Jos Buttler,12,46,11,Cloudy
159,2025,9/7/2018,Eden Gardens,CSK,SRH,SRH,Field,SRH,190,191,KL Rahul,102,Narine,4,KL Rahul,14,94,13,Sunny
160,2018,9/8/2018,Chepauk,LSG,KKR,LSG,Bat,LSG,239,206,Jos Buttler,69,Bumrah,1,Rashid Khan,24,71,9,Clear
161,2019,9/9/2018,Wankhede,CSK,SRH,SRH,Bat,SRH,150,189,Shubman Gill,64,Bumrah,5,Shubman Gill,19,79,19,Clear
162,2020,9/10/2018,Narendra Modi,LSG,SRH,LSG,Field,LSG,221,135,Virat Kohli,109,Narine,1,Virat Kohli,17,53,16,Cloudy
163,2021,9/11/2018,Narendra Modi,KKR,PBKS,KKR,Field,KKR,132,107,Rohit Sharma,116,Chahal,5,Rohit Sharma,14,58,21,Cloudy
164,2022,9/12/2018,Chinnaswamy,CSK,GT,CSK,Field,CSK,155,144,Yuzvendra Chahal,45,Chahal,4,Yuzvendra Chahal,14,45,8,Clear
165,2023,9/13/2018,Wankhede,RCB,PBKS,RCB,Field,PBKS,166,219,Virat Kohli,60,Shami,3,Virat Kohli,8,118,20,Sunny
166,2024,9/14/2018,Narendra Modi,DC,RR,RR,Bat,DC,189,169,Shubman Gill,74,Bumrah,3,Shubman Gill,8,109,20,Clear
167,2025,9/15/2018,Chepauk,KKR,LSG,LSG,Field,KKR,225,218,Yuzvendra Chahal,47,Narine,2,Virat Kohli,20,110,11,Sunny
168,2018,9/16/2018,Chepauk,GT,MI,MI,Field,MI,190,223,Rashid Khan,121,Arshdeep,1,Rashid Khan,15,66,15,Clear
169,2019,9/17/2018,Arun Jaitley,CSK,KKR,KKR,Bat,KKR,124,190,KL Rahul,112,Narine,4,KL Rahul,23,103,14,Cloudy
170,2020,9/18/2018,Narendra Modi,CSK,MI,CSK,Field,MI,130,144,Rashid Khan,73,Chahal,3,Rashid Khan,11,114,19,Cloudy
171,2021,9/19/2018,Chepauk,CSK,LSG,CSK,Field,CSK,233,120,Yuzvendra Chahal,91,Rashid Khan,5,Yuzvendra Chahal,25,103,12,Sunny
